seal_name,seal_path,seal_interpretation,processed_name,processed_path,image_name,image_path,front_page,type,property
1(1)_0.jpg,@/assets/data/Seals/1(1)_0.jpg,原濟,01-01-原濟.jpg,@/assets/data/Processed/01-01-原濟.jpg,1(1).jpg,@/assets/data/Images/1(1).jpg,1(1).jpg,baiwen,personal
1(1)_1.jpg,@/assets/data/Seals/1(1)_1.jpg,石濤,01-02-石濤.jpg,@/assets/data/Processed/01-02-石濤.jpg,1(1).jpg,@/assets/data/Images/1(1).jpg,1(1).jpg,zhuwen,personal
1(10)_0.jpg,@/assets/data/Seals/1(10)_0.jpg,老濤,01-03-老濤.jpg,@/assets/data/Processed/01-03-老濤.jpg,1(10).jpg,@/assets/data/Images/1(10).jpg,1(1).jpg,baiwen,personal
1(11)_0.jpg,@/assets/data/Seals/1(11)_0.jpg,原濟,01-01-原濟.jpg,@/assets/data/Processed/01-01-原濟.jpg,1(11).jpg,@/assets/data/Images/1(11).jpg,1(1).jpg,baiwen,personal
1(11)_1.jpg,@/assets/data/Seals/1(11)_1.jpg,石濤,01-02-石濤.jpg,@/assets/data/Processed/01-02-石濤.jpg,1(11).jpg,@/assets/data/Images/1(11).jpg,1(1).jpg,zhuwen,personal
1(12)_0.jpg,@/assets/data/Seals/1(12)_0.jpg,石濤,01-02-石濤.jpg,@/assets/data/Processed/01-02-石濤.jpg,1(12).jpg,@/assets/data/Images/1(12).jpg,1(1).jpg,zhuwen,personal
1(12)_1.jpg,@/assets/data/Seals/1(12)_1.jpg,原濟,01-01-原濟.jpg,@/assets/data/Processed/01-01-原濟.jpg,1(12).jpg,@/assets/data/Images/1(12).jpg,1(1).jpg,baiwen,personal
1(2)_0.jpg,@/assets/data/Seals/1(2)_0.jpg,石濤,01-02-石濤.jpg,@/assets/data/Processed/01-02-石濤.jpg,1(2).jpg,@/assets/data/Images/1(2).jpg,1(1).jpg,zhuwen,personal
1(2)_1.jpg,@/assets/data/Seals/1(2)_1.jpg,原濟,01-01-原濟.jpg,@/assets/data/Processed/01-01-原濟.jpg,1(2).jpg,@/assets/data/Images/1(2).jpg,1(1).jpg,baiwen,personal
1(3)_0.jpg,@/assets/data/Seals/1(3)_0.jpg,鏡塘審定,01-07-鏡塘審定.jpg,@/assets/data/Processed/01-07-鏡塘審定.jpg,1(3).jpg,@/assets/data/Images/1(3).jpg,1(1).jpg,zhuwen,collection
1(3)_1.jpg,@/assets/data/Seals/1(3)_1.jpg,石濤,01-02-石濤.jpg,@/assets/data/Processed/01-02-石濤.jpg,1(3).jpg,@/assets/data/Images/1(3).jpg,1(1).jpg,zhuwen,personal
1(3)_2.jpg,@/assets/data/Seals/1(3)_2.jpg,原濟,01-01-原濟.jpg,@/assets/data/Processed/01-01-原濟.jpg,1(3).jpg,@/assets/data/Images/1(3).jpg,1(1).jpg,baiwen,personal
