0	[-18.016883850097656, -46.1007194519043, -52.217445373535156, -52.273773193359375, -52.36071014404297, -53.098670959472656, -53.17710876464844, -53.80631637573242, -54.496238708496094, -54.57843780517578, -54.79023361206055, -54.96662521362305, -55.53296661376953, -55.73055648803711, -55.888832092285156, -55.922122955322266]
1	[-19.549701690673828, -41.607025146484375, -45.87049102783203, -48.55781173706055, -48.70680618286133, -48.91854476928711, -50.0292854309082, -50.24954605102539, -50.277706146240234, -50.33099365234375, -51.88493347167969, -51.96776580810547, -52.26960372924805, -53.241634368896484, -53.535888671875, -53.77663040161133]
2	[-20.85639190673828, -48.307376861572266, -48.476768493652344, -49.352928161621094, -49.481590270996094, -51.26178741455078, -51.90549087524414, -52.12924575805664, -53.1654167175293, -53.26949691772461, -53.2950439453125, -53.518455505371094, -53.588401794433594, -54.124080657958984, -54.1832389831543, -54.823570251464844]
3	[-20.81922721862793, -48.998435974121094, -55.94036865234375, -56.92493438720703, -57.68333435058594, -57.75796890258789, -57.927738189697266, -58.400177001953125, -59.14577865600586, -59.2197265625, -59.42130661010742, -60.358070373535156, -60.729408264160156, -61.521995544433594, -61.59382629394531, -62.785274505615234]
4	[-23.23965072631836, -42.239227294921875, -42.33279037475586, -47.6646842956543, -49.733489990234375, -50.98756408691406, -51.61896896362305, -52.059547424316406, -52.156707763671875, -52.25379180908203, -52.42218017578125, -52.47471237182617, -52.652462005615234, -53.562740325927734, -53.84396743774414, -53.9220085144043]
5	[-14.078189849853516, -37.2248649597168, -37.96977996826172, -41.02118682861328, -41.49578857421875, -42.13471221923828, -43.32169723510742, -43.87647247314453, -44.15134811401367, -44.3436279296875, -44.617515563964844, -44.923831939697266, -45.19145965576172, -45.19352722167969, -45.41382598876953, -45.54743194580078]
6	[-13.39213752746582, -46.87454605102539, -53.50487518310547, -55.90095138549805, -58.101646423339844, -58.103981018066406, -58.75320053100586, -58.95277404785156, -59.74366760253906, -59.87908172607422, -60.21800994873047, -60.319488525390625, -60.384273529052734, -61.3491325378418, -61.626285552978516, -62.10118103027344]
7	[-13.566004753112793, -37.5618896484375, -39.72584915161133, -39.89141845703125, -40.000755310058594, -41.11288070678711, -41.81086349487305, -42.16987609863281, -42.63037109375, -42.74343490600586, -44.17958450317383, -44.29243850708008, -44.65310287475586, -44.67805480957031, -44.74476623535156, -44.7550163269043]
8	[-15.133127212524414, -48.96466827392578, -50.28073501586914, -50.85620880126953, -51.48533630371094, -52.84398651123047, -52.918846130371094, -53.81151580810547, -54.5211181640625, -54.75788497924805, -55.38568115234375, -55.422828674316406, -55.75804901123047, -55.880924224853516, -55.96183395385742, -56.02455139160156]
9	[-24.39211082458496, -68.85285186767578, -69.69351959228516, -70.31147003173828, -70.91557312011719, -71.16351318359375, -71.76830291748047, -72.20182037353516, -72.54578399658203, -73.1467514038086, -73.51455688476562, -73.85920715332031, -74.03584289550781, -74.24102783203125, -74.43126678466797, -74.74348449707031]
10	[-18.127878189086914, -49.5838508605957, -53.270233154296875, -53.70907211303711, -54.46765899658203, -54.61920928955078, -55.195343017578125, -55.31010437011719, -55.41318130493164, -56.2758674621582, -56.743896484375, -56.882049560546875, -58.1644287109375, -58.340736389160156, -58.97922134399414, -59.03653335571289]
11	[-18.83164405822754, -50.943424224853516, -64.21293640136719, -65.358154296875, -65.96049499511719, -66.44789123535156, -66.76492309570312, -67.92252349853516, -69.0484619140625, -69.08505249023438, -69.47875213623047, -69.50064086914062, -69.6613998413086, -70.70561218261719, -70.97544860839844, -71.27572631835938]
12	[-19.96009063720703, -48.424678802490234, -49.27162170410156, -49.37065505981445, -49.4489860534668, -49.59375, -50.453399658203125, -50.89900207519531, -50.97660827636719, -51.45381546020508, -51.63752746582031, -52.43257141113281, -52.64154052734375, -52.98484802246094, -53.19049835205078, -53.367027282714844]
13	[-16.906551361083984, -38.583553314208984, -38.92433166503906, -41.28961944580078, -41.78470993041992, -41.80555725097656, -42.34666061401367, -42.436500549316406, -42.44013977050781, -42.45606994628906, -42.6044921875, -42.62409210205078, -42.707374572753906, -43.04975509643555, -43.64626693725586, -43.83348846435547]
14	[-22.646268844604492, -57.620121002197266, -58.22064971923828, -58.380287170410156, -58.82210159301758, -58.97899627685547, -60.289947509765625, -60.41252136230469, -60.964195251464844, -61.15901184082031, -61.16956329345703, -61.908878326416016, -63.36016082763672, -63.9102783203125, -64.38795471191406, -64.61911010742188]
15	[-22.738929748535156, -56.966575622558594, -57.25737762451172, -58.43331527709961, -59.43010711669922, -62.81882095336914, -63.415321350097656, -63.63808822631836, -63.94243240356445, -64.3144760131836, -64.44302368164062, -64.87785339355469, -64.98392486572266, -65.35977935791016, -65.42703247070312, -65.44223022460938]
16	[-33.632999420166016, -74.60565185546875, -75.33202362060547, -77.53349304199219, -77.58491516113281, -77.95230102539062, -78.75801849365234, -79.02603149414062, -79.36402893066406, -80.4192886352539, -80.50543212890625, -80.86479187011719, -81.2346420288086, -81.47190856933594, -81.63288879394531, -82.05670928955078]
17	[-36.880088806152344, -77.10296630859375, -78.91503143310547, -80.42234802246094, -81.0970458984375, -83.62984466552734, -84.78443145751953, -85.08413696289062, -86.12408447265625, -86.13091278076172, -86.9117431640625, -87.52520751953125, -88.27262115478516, -89.53562927246094, -89.79435729980469, -90.997314453125]
18	[-13.954191207885742, -39.811527252197266, -46.1633186340332, -47.45551681518555, -47.52766036987305, -49.87937927246094, -50.02095031738281, -50.28141784667969, -50.37496566772461, -50.8201789855957, -50.84725570678711, -51.0338134765625, -52.009334564208984, -52.17454528808594, -52.58304214477539, -52.6338005065918]
19	[-16.834047317504883, -53.65840148925781, -55.29249572753906, -57.543357849121094, -57.924072265625, -58.942962646484375, -59.21193313598633, -59.35991287231445, -62.083499908447266, -62.14084243774414, -62.624202728271484, -62.771949768066406, -63.221763610839844, -63.36359786987305, -63.49589157104492, -63.954200744628906]
20	[-11.211621284484863, -33.067832946777344, -39.69140625, -40.623573303222656, -40.750823974609375, -40.825050354003906, -40.93656539916992, -41.72169876098633, -41.78703308105469, -42.16950988769531, -42.34938049316406, -42.36014175415039, -42.81935119628906, -43.35345458984375, -43.36348342895508, -43.415279388427734]
21	[-15.544818878173828, -36.82037353515625, -40.57110595703125, -42.21156311035156, -43.08807373046875, -43.10984802246094, -43.3100700378418, -43.6202392578125, -44.20699691772461, -44.262969970703125, -45.388221740722656, -46.248809814453125, -46.416568756103516, -46.4466552734375, -46.732444763183594, -46.782371520996094]
22	[-15.220001220703125, -38.93023681640625, -39.55764389038086, -40.60718536376953, -42.601966857910156, -42.6092414855957, -43.523712158203125, -43.788063049316406, -45.05599594116211, -45.05768585205078, -45.87240219116211, -46.67360305786133, -46.68745422363281, -46.965335845947266, -47.11279296875, -47.38499069213867]
23	[-13.203130722045898, -39.07707977294922, -39.65542221069336, -40.066829681396484, -40.37113952636719, -40.493717193603516, -40.60181427001953, -41.16453552246094, -41.21918487548828, -41.248085021972656, -41.35795974731445, -41.407142639160156, -41.951210021972656, -41.9820556640625, -42.01792907714844, -42.0258903503418]
24	[-12.444009780883789, -35.68861770629883, -36.00559997558594, -36.843299865722656, -38.11895751953125, -38.65752410888672, -38.72548294067383, -38.871700286865234, -39.22823715209961, -39.244869232177734, -39.94820785522461, -39.953426361083984, -40.340824127197266, -40.51234817504883, -40.91972732543945, -40.95125198364258]
25	[-17.713024139404297, -36.35719680786133, -37.654266357421875, -40.942970275878906, -40.9826774597168, -41.152183532714844, -41.37010192871094, -41.760379791259766, -42.04604721069336, -42.545654296875, -42.77613830566406, -42.795799255371094, -43.43135452270508, -43.568397521972656, -43.63316345214844, -43.701297760009766]
26	[-18.10114860534668, -51.946624755859375, -55.864013671875, -57.0718879699707, -58.07907485961914, -60.13874053955078, -61.002105712890625, -61.82147216796875, -62.26250076293945, -62.630638122558594, -62.67491912841797, -63.149818420410156, -63.24427032470703, -63.28791046142578, -63.33012390136719, -64.20382690429688]
27	[-18.175025939941406, -49.222076416015625, -49.6043815612793, -49.725433349609375, -50.12689971923828, -50.887535095214844, -51.12973403930664, -51.510772705078125, -51.56203842163086, -51.73574447631836, -51.77124786376953, -52.069190979003906, -52.35267639160156, -52.368621826171875, -52.391963958740234, -52.57353973388672]
28	[-17.852340698242188, -49.621437072753906, -51.85230255126953, -51.854896545410156, -52.5335807800293, -52.87289047241211, -53.14445114135742, -53.160518646240234, -53.498268127441406, -54.702449798583984, -54.764404296875, -55.257694244384766, -55.41433334350586, -55.42218780517578, -55.66767501831055, -56.16337585449219]
29	[-20.44457244873047, -61.21033477783203, -61.46440505981445, -63.6947135925293, -64.68317413330078, -64.799560546875, -65.13607788085938, -65.47535705566406, -65.89756774902344, -66.74700164794922, -66.76740264892578, -66.86766052246094, -67.10104370117188, -67.42158508300781, -67.61457061767578, -67.66682434082031]
30	[-30.365476608276367, -71.9706802368164, -73.35811614990234, -73.67223358154297, -77.14051818847656, -77.26365661621094, -77.30774688720703, -77.44853973388672, -77.5837173461914, -77.72615814208984, -78.02134704589844, -78.09041595458984, -78.17630767822266, -78.73799133300781, -79.24797058105469, -79.2856216430664]
31	[-17.6439208984375, -51.593624114990234, -53.709510803222656, -55.403900146484375, -55.68586730957031, -56.04515075683594, -57.139957427978516, -57.2442512512207, -57.51413345336914, -57.99467086791992, -58.2972297668457, -58.320621490478516, -58.58991241455078, -59.26310729980469, -59.36251449584961, -59.92120361328125]
32	[-17.912273406982422, -46.882755279541016, -49.947509765625, -50.884117126464844, -51.866065979003906, -51.96568298339844, -52.38929748535156, -53.049774169921875, -53.96021270751953, -53.96575927734375, -53.994224548339844, -54.11546325683594, -54.40657424926758, -54.4270133972168, -54.47956085205078, -55.00264358520508]
33	[-11.487714767456055, -31.279666900634766, -31.595182418823242, -32.83291244506836, -33.64664840698242, -33.896202087402344, -34.61250686645508, -35.07852554321289, -35.50398254394531, -35.872901916503906, -36.05168151855469, -36.13959503173828, -36.140907287597656, -36.51356887817383, -36.54827880859375, -37.32927703857422]
34	[-14.0712308883667, -38.75008773803711, -41.801448822021484, -42.14081573486328, -44.39979934692383, -45.55888366699219, -46.01327133178711, -46.63750457763672, -46.981170654296875, -47.19967269897461, -47.321205139160156, -47.44075012207031, -47.45356369018555, -47.582763671875, -47.66160583496094, -47.698081970214844]
