image_name,front_page,name,description,standard
1(1).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(10).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(11).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(12).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(2).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(3).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(4).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(5).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(6).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
1(7).jpg,1(1).jpg,雜畫,"本册有山水畫四幀、人物畫三幀、花卉畫五幀。其中第九幀署“丁酉”款，雖然不能以此斷定其餘十一幀作品的創作時間，但本册歷來被認爲是石濤早年的作品。
這十二幀作品各有風致，或白描勾勒，或兼工帶寫，細觀之，可略窺石濤早年稚嫩筆法。如第八幀，人物、小艇較爲拘謹，似乎是從畫譜刻本臨摹所得。從書法而論，第四、八、九、十二幀筆力較爲生澀，不及第一幀流暢、嫺熟。畫中尚未見石濤日後所擅長的“澹色圖之”的痕迹。
畫面多處題跋透露了石濤在武昌時期的部分行踪—“小塔寺”（在今江夏）、“開先之龍壇石上”（在今廬山）、“武昌之鶴樓”、“岳陽夜艇”等。本圖藏于廣東省博物館、上海博物館、故宫博物院和武漢博物館。",TRUE
