0	[3.2005252838134766, -17.452289581298828, -18.97354507446289, -19.450603485107422, -22.1949405670166, -22.826416015625, -22.969148635864258, -23.063644409179688, -23.399517059326172, -23.46723747253418, -23.47444725036621, -23.8763370513916, -25.4719295501709, -25.634056091308594, -25.816373825073242, -25.830127716064453]
1	[1.9795823097229004, -24.142213821411133, -24.76058578491211, -24.79933738708496, -25.90501594543457, -27.639375686645508, -27.659008026123047, -28.22270965576172, -28.573396682739258, -29.299673080444336, -29.911699295043945, -30.365673065185547, -30.811511993408203, -30.887248992919922, -31.853260040283203, -32.215328216552734]
2	[0.25438475608825684, -19.67540168762207, -21.286399841308594, -21.440061569213867, -21.46314239501953, -22.409759521484375, -22.489295959472656, -22.964414596557617, -24.310667037963867, -24.63060188293457, -24.7562255859375, -25.347869873046875, -25.578838348388672, -25.829097747802734, -25.924503326416016, -25.966650009155273]
3	[3.419466495513916, -20.18628692626953, -22.13856315612793, -23.724868774414062, -25.22748565673828, -26.008075714111328, -26.068166732788086, -26.559364318847656, -26.652040481567383, -26.866878509521484, -27.12514305114746, -27.161542892456055, -27.581275939941406, -28.22482681274414, -28.403284072875977, -28.649703979492188]
4	[-1.5895041227340698, -23.136547088623047, -23.555988311767578, -25.453380584716797, -26.484365463256836, -27.073993682861328, -28.044200897216797, -29.024463653564453, -29.28539276123047, -29.829952239990234, -29.916654586791992, -30.358503341674805, -31.20733642578125, -31.58378791809082, -32.23768997192383, -32.299198150634766]
5	[1.8166403770446777, -22.63818359375, -23.282878875732422, -23.486238479614258, -23.719314575195312, -24.322132110595703, -24.40216064453125, -25.1284236907959, -25.94692611694336, -26.160770416259766, -26.71087646484375, -27.45322036743164, -27.555721282958984, -27.73731803894043, -28.32565689086914, -28.86622428894043]
6	[7.976131916046143, -27.613122940063477, -27.850093841552734, -27.92494010925293, -28.344602584838867, -28.35201644897461, -28.832294464111328, -29.087692260742188, -29.094877243041992, -29.856483459472656, -29.93820571899414, -30.2047176361084, -30.758041381835938, -31.118486404418945, -31.33721923828125, -31.41425323486328]
7	[2.9476816654205322, -24.294536590576172, -27.940290451049805, -28.65491485595703, -29.454893112182617, -30.201812744140625, -30.4791316986084, -30.82894515991211, -30.869783401489258, -30.924354553222656, -31.5762996673584, -31.622974395751953, -32.231807708740234, -32.4132194519043, -32.91508483886719, -32.998470306396484]
8	[4.1217756271362305, -17.4464111328125, -19.69104766845703, -20.944950103759766, -21.102731704711914, -21.985210418701172, -22.348922729492188, -22.675430297851562, -23.078218460083008, -23.12360382080078, -23.80711555480957, -23.898710250854492, -24.246688842773438, -24.86181640625, -25.043703079223633, -25.1160888671875]
9	[2.2489705085754395, -16.651330947875977, -19.157346725463867, -19.50968360900879, -19.83599853515625, -20.27082633972168, -20.661815643310547, -21.063358306884766, -21.110851287841797, -21.146406173706055, -21.482135772705078, -21.61408233642578, -21.62948989868164, -21.776769638061523, -21.838254928588867, -21.840831756591797]
10	[1.2207427024841309, -19.601974487304688, -22.9588623046875, -26.006175994873047, -27.082233428955078, -27.311429977416992, -27.537107467651367, -27.55596351623535, -27.702653884887695, -28.466106414794922, -29.37689208984375, -29.478103637695312, -30.10073471069336, -30.205787658691406, -30.306598663330078, -30.532007217407227]
11	[8.943224906921387, -23.382862091064453, -25.81846809387207, -26.87624740600586, -27.077613830566406, -27.334484100341797, -28.26378059387207, -29.3326416015625, -29.459230422973633, -30.645612716674805, -30.8588809967041, -31.023035049438477, -31.229001998901367, -31.872684478759766, -32.3896484375, -32.90647506713867]
12	[-1.5573415756225586, -15.787833213806152, -16.80990982055664, -18.20253562927246, -19.70061683654785, -20.52627182006836, -21.000534057617188, -21.40590476989746, -21.568754196166992, -21.966617584228516, -21.97504997253418, -21.97673988342285, -22.452028274536133, -22.81276512145996, -22.815881729125977, -22.844884872436523]
13	[-1.9797910451889038, -18.057024002075195, -19.221771240234375, -19.311054229736328, -20.05161476135254, -20.620357513427734, -20.659435272216797, -20.763322830200195, -20.948984146118164, -21.216968536376953, -21.350053787231445, -21.488218307495117, -21.546112060546875, -21.631452560424805, -21.817459106445312, -21.88249969482422]
